name,url,city,type,established,beverage_count
 Innovation Brewing,https://www.ratebeer.com/brewers/innovation-brewing/19953/,Sylva,Microbrewery,2014,   108
 Ironclad Brewery,https://www.ratebeer.com/brewers/ironclad-brewery/22969/,Wilmington,Microbrewery,2015,   36
 Jolly Roger Brew,https://www.ratebeer.com/brewers/jolly-roger-brew/37994/,Mooresville,Microbrewery,2018,   1
 Joymongers Brewing Company,https://www.ratebeer.com/brewers/joymongers-brewing-company/28108/,Greensboro,Brewpub/Brewery,2016,   65
 Kernersville Brewing Company,https://www.ratebeer.com/brewers/kernersville-brewing-company/26557/,Kernersville,Brewpub/Brewery,2016,   21
 Kettell Beerworks,https://www.ratebeer.com/brewers/kettell-beerworks/19320/,Banner Elk,Brewpub/Brewery,2014,   24
 Kettell Beerworks,https://www.ratebeer.com/brewers/kettell-beerworks/41459/,Banner Elk,Microbrewery,2019,   4
 Kind Beers,https://www.ratebeer.com/brewers/kind-beers/11059/,Charlotte,Client Brewer,2009,   6
 King Canary Brewing Company,https://www.ratebeer.com/brewers/king-canary-brewing-company/35391/,Mooresville,Microbrewery,2018,   25
 Koi Pond Brewing Company,https://www.ratebeer.com/brewers/koi-pond-brewing-company/27392/,Rocky Mount,Microbrewery,2016,   42
 Lake Gaston Brewing Company,https://www.ratebeer.com/brewers/lake-gaston-brewing-company/34279/,Fayetteville,Microbrewery,2018,   8
 Lazy Hiker Brewing Company,https://www.ratebeer.com/brewers/lazy-hiker-brewing-company/23372/,Franklin,Microbrewery,2015,   56
 Legion Brewing,https://www.ratebeer.com/brewers/legion-brewing/25918/,Charlotte,Brewpub,2016,   132
 Lenny Boy Brewing Company,https://www.ratebeer.com/brewers/lenny-boy-brewing-company/19711/,Charlotte,Microbrewery,2014,   100
 Lesser-Known Beer Co,https://www.ratebeer.com/brewers/lesser-known-beer-co/50978/,Winston-Salem,Microbrewery,2023,   3
 Liquid Roots Brewing Project,https://www.ratebeer.com/brewers/liquid-roots-brewing-project/45585/,Lenoir,Microbrewery,2021,   10
 Little Brother Brewing,https://www.ratebeer.com/brewers/little-brother-brewing/34190/,Greensboro,Brewpub/Brewery,2018,   30
 Little City Brewing & Provisions Company,https://www.ratebeer.com/brewers/little-city-brewing-provisions-company/30623/,Raleigh ,Brewpub,2017,   21
 Loe's Brewing Company,https://www.ratebeer.com/brewers/loe39s-brewing-company/36992/,Lenoir,Brewpub,2018,   1
 Lonerider Brewing Company,https://www.ratebeer.com/brewers/lonerider-brewing-company/10161/,Raleigh,Microbrewery,2009,   90
 Lookout Brewing Company,https://www.ratebeer.com/brewers/lookout-brewing-company/16777/,Black Mountain,Microbrewery,2013,   58
 Lost Colony Brewery and Café,https://www.ratebeer.com/brewers/lost-colony-brewery-and-cafe/15028/,Manteo,Brewpub/Brewery,2011,   19
 Lost Province Brewing,https://www.ratebeer.com/brewers/lost-province-brewing/21169/,Boone,Brewpub/Brewery,2014,   72
 Lost Worlds Brewing,https://www.ratebeer.com/brewers/lost-worlds-brewing/46757/,Cornelius,Microbrewery,2021,   4
 Lower Left Brewing Co.,https://www.ratebeer.com/brewers/lower-left-brewing-co/41471/,Charlotte,Microbrewery,2019,   21
 Lynnwood Grill & Brewing Concern,https://www.ratebeer.com/brewers/lynnwood-grill-brewing-concern/19642/,Raleigh,Brewpub/Brewery,2014,   41
 Mad Co. Brew House,https://www.ratebeer.com/brewers/mad-co-brew-house/38028/,Marshall,Microbrewery,2018,   6
 Mad Mole Brewing,https://www.ratebeer.com/brewers/mad-mole-brewing/37995/,Wilmington,Microbrewery,2018,   8
 Makai Brewing Company,https://www.ratebeer.com/brewers/makai-brewing-company/35399/,Ocean Isle Beach,Microbrewery,2018,   26
 Mica Town Brewing Company,https://www.ratebeer.com/brewers/mica-town-brewing-company/38024/,Marion,Microbrewery,2018,   9
 Middle James Brewing Company,https://www.ratebeer.com/brewers/middle-james-brewing-company/42460/,Pineville ,Brewpub,2020,   3
 Midnight Mulligan Brewing,https://www.ratebeer.com/brewers/midnight-mulligan-brewing/49912/,Charlotte,Brewpub,2022,   8
 Mill Whistle Brewing,https://www.ratebeer.com/brewers/mill-whistle-brewing/27394/,Beaufort,Microbrewery,2016,   16
 Mills River Brewing Co.,https://www.ratebeer.com/brewers/mills-river-brewing-co/25576/,Mills River,Brewpub,2015,   17
 Mordecai Beverage Company,https://www.ratebeer.com/brewers/mordecai-beverage-company/41490/,Raleigh ,Microbrewery,2019,   4
 Morgan Ridge Vineyards & Brewhouse,https://www.ratebeer.com/brewers/morgan-ridge-vineyards-brewhouse/28195/,Gold Hill,Brewpub/Brewery,2016,   40
 Mother Earth Brewing Company,https://www.ratebeer.com/brewers/mother-earth-brewing-company/10567/,Kinston,Microbrewery,2009,   43
 Mountain Layers Brewing Company,https://www.ratebeer.com/brewers/mountain-layers-brewing-company/31783/,Bryson City,Microbrewery,2017,   46
 Mythic Brewing,https://www.ratebeer.com/brewers/mythic-brewing/46525/,Rocky Mount,Microbrewery,2021,   6
 Nantahala Brewing Company,https://www.ratebeer.com/brewers/nantahala-brewing-company/10997/,Bryson City,Microbrewery,2009,   63
 Native American Brewing,https://www.ratebeer.com/brewers/native-american-brewing/47605/,Cherokee,Brewpub,2021,   4
 Natty Greene's Pub & Brewing Company,https://www.ratebeer.com/brewers/natty-greenes-pub-brewing-company/5302/,Greensboro,Brewpub/Brewery,2004,   182
 Nauti Dog Brewing Company,https://www.ratebeer.com/brewers/nauti-dog-brewing-company/46594/,Winterville,Microbrewery,2021,   11
 Neuse River Brewing,https://www.ratebeer.com/brewers/neuse-river-brewing/24456/,Raleigh,Microbrewery,2015,   26
 New Anthem Beer Project,https://www.ratebeer.com/brewers/new-anthem-beer-project/30750/,Wilmington,Microbrewery,2017,   141
 New Origin Brewing Company,https://www.ratebeer.com/brewers/new-origin-brewing-company/47820/,Asheville,Brewpub/Brewery,2021,   43
 New River Brewing,https://www.ratebeer.com/brewers/new-river-brewing/32641/,West Jefferson,Microbrewery,2017,   30
 New Sarum Brewing Company,https://www.ratebeer.com/brewers/new-sarum-brewing-company/26180/,Salisbury,Microbrewery,2016,   55
 Newgrass Brewing Company,https://www.ratebeer.com/brewers/newgrass-brewing-company/24129/,Shelby,Microbrewery,2015,   123
 Nickelpoint Brewing Company,https://www.ratebeer.com/brewers/nickelpoint-brewing-company/20745/,Raleigh,Microbrewery,2014,   24
 Noblebräu Brewing,https://www.ratebeer.com/brewers/noblebrau-brewing/44606/,Brevard,Microbrewery,2020,   5
 Nocturnal Brewing Company,https://www.ratebeer.com/brewers/nocturnal-brewing-company/38784/,Hayesville,Microbrewery,2019,   8
 NoDa Brewing Company,https://www.ratebeer.com/brewers/noda-brewing-company/13551/,Charlotte,Microbrewery,2011,   193
 Northern Outer Banks Brewing Company,https://www.ratebeer.com/brewers/northern-outer-banks-brewing-company/33944/,Corolla,Microbrewery,2017,   4
 Oak City Brewing Company,https://www.ratebeer.com/brewers/oak-city-brewing-company/38016/,Knightdale,Microbrewery,2018,   1
 Oaklyn Springs Brewery,https://www.ratebeer.com/brewers/oaklyn-springs-brewery/38023/,Fuquay Varina,Microbrewery,2018,   19
 Oden Brewing Co.,https://www.ratebeer.com/brewers/oden-brewing-co/41813/,Greensboro,Brewpub,2019,   5
 Oklawaha Brewing,https://www.ratebeer.com/brewers/oklawaha-brewing/47499/,Hendersonville ,Brewpub/Brewery,2021,   4
 Old North State Winery,https://www.ratebeer.com/brewers/old-north-state-winery/10875/,Mount Airy,Brewpub,2009,   2
 Olde Hickory Brewery,https://www.ratebeer.com/brewers/olde-hickory-brewery/571/,Hickory,Microbrewery,1996,   130
 Ole Dallas Brewery,https://www.ratebeer.com/brewers/ole-dallas-brewery/30557/,Dallas,Microbrewery,2017,   20
 One World Brewing,https://www.ratebeer.com/brewers/one-world-brewing/19770/,Asheville,Microbrewery,2014,   108
 Other Side of the Moon Brewery,https://www.ratebeer.com/brewers/other-side-of-the-moon-brewery/35616/,Clemmons,Brewpub/Brewery,2018,   16
 Outer Banks Brewing Station,https://www.ratebeer.com/brewers/outer-banks-brewing-station/1978/,Kill Devil Hills,Brewpub,2001,   156
 Outsider Brewing Company,https://www.ratebeer.com/brewers/outsider-brewing-company/50435/,Asheville,Brewpub/Brewery,2022,   1
 OysterHouse Brewing,https://www.ratebeer.com/brewers/oysterhouse-brewing/10305/,Asheville,Brewpub,2009,   46
 Percent Tap House,https://www.ratebeer.com/brewers/percent-tap-house/42468/,Harrisburg,Microbrewery,2020,   5
 Petty Thieves Brewing,https://www.ratebeer.com/brewers/petty-thieves-brewing/49545/,Charlotte,Microbrewery,2022,   5
 Pharr Mill Brewing,https://www.ratebeer.com/brewers/pharr-mill-brewing/42470/,Harrisburg,Microbrewery,2020,   1
 Pig Pounder Brewery,https://www.ratebeer.com/brewers/pig-pounder-brewery/19905/,Greensboro,Microbrewery,2014,   52
 Pilot Brewing,https://www.ratebeer.com/brewers/pilot-brewing/36856/,Charlotte,Microbrewery,2018,   39
 Pinehurst Brewing Company,https://www.ratebeer.com/brewers/pinehurst-brewing-company/38033/,Pinehurst,Microbrewery,2018,   21
 Pisgah Brewing Company,https://www.ratebeer.com/brewers/pisgah-brewing-company/6001/,Black Mountain,Microbrewery,2005,   95
 Pitt Street Brewing Company,https://www.ratebeer.com/brewers/pitt-street-brewing-company/35395/,Greenville,Microbrewery,2018,   36
 Ponysaurus Brewing Co.,https://www.ratebeer.com/brewers/ponysaurus-brewing-co/18238/,Durham,Microbrewery,2013,   43
 Primal Brewery,https://www.ratebeer.com/brewers/primal-brewery/21623/,Huntersville,Microbrewery,2014,   25
 Prolyfk Brewing Project,https://www.ratebeer.com/brewers/prolyfk-brewing-project/47604/,New Bern,Microbrewery,2021,   7
